"","distance","spectrumID","i"
"35","0.776758779210523","spec-5331-55976-0504.fits","342"
"36","0.781649673341817","spec-1232-52731-0467.fits","206"
"37","0.786898420707918","spec-1997-53442-0041.fits","454"
"38","0.797445970745523","spec-1959-53440-0382.fits","526"
"39","0.80191149433875","spec-1382-53115-0469.fits","1120"
"40","0.808918588074616","spec-6049-56091-0278.fits","254"
"41","0.811254443898853","spec-1568-53169-0578.fits","1645"
"42","0.813361942563711","spec-2620-54339-0453.fits","424"
"43","0.818484565493577","spec-6620-56368-0501.fits","1619"
"44","0.823441811114963","spec-5336-55957-0105.fits","1903"
"45","0.823624383349252","spec-6512-56567-0742.fits","1390"
"46","0.825950905310852","spec-5397-55944-0285.fits","2326"
"47","0.826324657513115","spec-6125-56273-0414.fits","1751"
"48","0.828599152832208","spec-4242-55476-0780.fits","1370"
"49","0.828695174155702","spec-4347-55830-0615.fits","2091"
"50","0.829555201057735","spec-5027-56218-0605.fits","1795"
"51","0.834497444876633","spec-6803-56402-0747.fits","2237"
"52","0.834708889502463","spec-6465-56279-0857.fits","1985"
"53","0.836314024288383","spec-0314-51641-0211.fits","1631"
"54","0.83794193446306","spec-5111-55840-0716.fits","1442"
"55","0.838433279084878","spec-6447-56362-0485.fits","1814"
"56","0.838802457467179","spec-3755-55504-0496.fits","1380"
"57","0.840064022140246","spec-1026-52558-0067.fits","653"
"58","0.848259091292145","spec-4801-55653-0130.fits","2219"
"59","0.850229033141138","spec-6656-56624-0929.fits","2206"
"60","0.851913852240095","spec-7301-56746-0454.fits","1949"
"61","0.856094674424162","spec-2356-53786-0499.fits","108"
"62","0.85632693954354","spec-6754-56414-0896.fits","1919"
"63","0.857936709807737","spec-0632-52071-0263.fits","1006"
"64","0.86142732555734","spec-2913-54526-0229.fits","39"
"65","0.869527820195713","spec-4058-55358-0634.fits","2047"
"66","0.869923373044868","spec-4464-55866-0887.fits","2182"
"67","0.873319282051528","spec-6461-56329-0925.fits","1889"
"68","0.873984598694022","spec-6145-56266-0755.fits","2301"
"69","0.878501972200048","spec-5972-56334-0558.fits","1946"
"70","0.878562921129749","spec-2261-53612-0404.fits","33"
"71","0.878829084737922","spec-4870-55923-0229.fits","1825"
"72","0.881720981118294","spec-7395-57131-0208.fits","1035"
"73","0.885380144577625","spec-7424-57160-0977.fits","2180"
"74","0.885786172770721","spec-6161-56238-0336.fits","894"
"75","0.892163393184528","spec-1719-53876-0095.fits","87"
"76","0.893744960590569","spec-1728-53228-0337.fits","996"
"77","0.896852847164029","spec-4391-55866-0036.fits","2225"
"78","0.901653445352532","spec-1301-52976-0123.fits","860"
"79","0.901814401907809","spec-5793-56337-0530.fits","806"
"80","0.902341379843699","spec-1757-53083-0437.fits","51"
"81","0.903069963850742","spec-1626-53472-0286.fits","1235"
"82","0.90357111611196","spec-4494-55569-0447.fits","2247"
"83","0.904004235741619","spec-6406-56330-0456.fits","159"
"84","0.907232431571008","spec-4611-55603-0878.fits","188"
"85","0.907450311819978","spec-0924-52409-0636.fits","220"
"86","0.910545431921968","spec-2634-54110-0244.fits","1058"
"87","0.911984386459382","spec-5047-55833-0214.fits","626"
"88","0.915737675704028","spec-0750-52235-0328.fits","1293"
"89","0.918202278163863","spec-2179-53555-0564.fits","1126"
"90","0.922957433376539","spec-1437-53046-0166.fits","1648"
"91","0.924775686628551","spec-4039-55648-0759.fits","2196"
"92","0.926867885071896","spec-1923-53319-0383.fits","854"
"93","0.931980151813515","spec-0390-51900-0010.fits","622"
"94","0.932956780811126","spec-5302-55896-0613.fits","1063"
"95","0.938109237893798","spec-7257-56658-0239.fits","1348"
"96","0.957929754671264","spec-6008-56093-0606.fits","1241"
"97","0.958650379288842","spec-1397-53119-0412.fits","416"
"98","0.976861774831441","spec-0935-52643-0464.fits","415"
"99","0.982070429989263","spec-1685-53463-0384.fits","319"
"100","3","spec-7258-56605-0453.fits","0"
